,Title,Price,Brand,Model,Display Size,CPU Model,RAM,Operating system
0,"HP Chromebook 11a, MediaTek MT8183 Processor 11.6 inch(29.5 cm) Thin and Light Touchscreen Laptop (4 GB RAM/64 GB eMMC/ Chrome OS /Fast Charge/Google Assistant/Indigo Blue/1.07Kg), na0002MU, 1.07Kg","18,999.00",  Brand   HP  ,  Model Name   Chromebook 11a-na0005MU  ,  Screen Size   11.6 Inches  ,  CPU Model   MediaTek MT8183  ,  RAM Memory Installed Size   4 GB  ,  Operating System   Chrome OS  
1,Dell Vostro 14-inch Laptop (35.56 cms) | Windows 11 and MS Office 2021 | Intel i3-1115G4 | 8GB DDR4 SDRAM and 512GB SSD | FHD Screen | Laptop for Work | 3420 - Carbon Black (D552276WIN9BE),"42,590.00",  Brand   Dell  ,  Model Name   Vostro 3420  ,  Screen Size   14 Inches  ,  CPU Model   Core i3  ,  RAM Memory Installed Size   8 GB  ,  Operating System   Windows 11  
2,"HP 15s-Ryzen 3 3250U 8GB SDRAM/256GB SSD 15.6inch(39.6cm) HD, Micro-Edge Laptop/AMD Radeon Graphics/Dual Speakers/Win 11 Home/MS Office/Fast Charge/Jet Black/1.69Kg, 15s-ey1508AU","28,490.00",  Brand   HP  ,  Series   15s-ey1508AU  ,  Screen Size   15.6 Inches  ,  CPU Model   Ryzen 3  ,  RAM Memory Installed Size   8 GB  ,  Operating System   Windows 11 Home  
3,"(Renewed) Dell Latitude E5470 Intel Core i5 6th Gen.6200u Processor 14.1 Inches HD Screen Notebook Computer (8 GB Ram & 256 GB SSD, Windows 10 Pro, 1.71Kg)","19,013.00",  Brand   Dell  ,None,  Screen Size   14.1 Inches  ,  CPU Model   Core i5 6200U  ,  RAM Memory Installed Size   8 GB  ,  Operating System   Windows 10 Pro  
4,"ASUS VivoBook 15 (2021), 15.6-inch (39.62 cm) HD, Dual Core Intel Celeron N4020, Thin and Light Laptop (4GB RAM/256GB SSD/Integrated Graphics/Windows 11 Home/Transparent Silver/1.8 Kg), X515MA-BR011W","24,990.00",  Brand   ASUS  ,  Series   VivoBook 15 (2021)  ,  Screen Size   15.6 Inches  ,  CPU Model   Celeron N4020  ,  RAM Memory Installed Size   4 GB  ,  Operating System   Windows 11 Home  
5,"2021 Apple MacBook Pro (14-inch/35.97 cm, Apple M1 Pro chip with 8-core CPU and 14-core GPU, 16GB RAM, 512GB SSD) - Silver","1,94,900.",  Brand   Apple  ,  Model Name   MacBook Pro  ,  Screen Size   35.97 Centimetres  ,  CPU Model   Apple M1  ,  RAM Memory Installed Size   16 GB  ,  Operating System   macOS 12 Monterey  
6,"Lenovo Yoga Slim 7 Carbon 11th Gen Intel Core i7 13.3"" (33.78cm) QHD IPS Ultra-Light & Thin Laptop (16GB/1TB SSD/Windows 10/MS Office/Intel Iris Xe GFX/Carbon Fiber/Moon White/0.96 Kg), 82EV003WIN","1,34,990.",  Brand   Lenovo  ,  Series   Yoga Slim 7i Carbon  ,  Screen Size   13.3 Inches  ,  CPU Model   Core i7  ,  RAM Memory Installed Size   16 GB  ,  Operating System   Windows 10 Home  
7,"2020 Apple MacBook Air Laptop: Apple M1 chip, 13.3-inch/33.74 cm Retina Display, 8GB RAM, 256GB SSD Storage, Backlit Keyboard, FaceTime HD Camera, Touch ID. Works with iPhone/iPad; Space Grey","86,990.00",  Brand   Apple  ,  Model Name   MacBook Air  ,  Screen Size   13 Inches  ,  CPU Model   Core M Family  ,  RAM Memory Installed Size   8 GB  ,  Operating System   macOS 10.14 Mojave  
8,"Dell New XPS 9310 Intel Evo i5-1135G7 13.4 Inches Laptop (FHD AG 500 Nits Display, 8GB LPDDR4, 512GB SSD, Integrated Graphics, Windows 10 + MS Office ' 19, Silver, D560032WIN9S, 1.2Kg)","1,05,990.",  Brand   Dell  ,  Model Name   XPS 9310  ,  Screen Size   13.4  ,  CPU Model   Core i5  ,  RAM Memory Installed Size   8 GB  ,  Operating System   Windows 10  
9,"Lenovo IdeaPad Slim 3 Intel Celeron N4020 4th Gen 15.6"" (39.62cm) HD Thin & Light Laptop (8GB/256GB SSD/Windows 11/Office 2021/2Yr Warranty/3months Game Pass/Platinum Grey/1.7Kg), 81WQ00MQIN","26,990.00",  Brand   Lenovo  ,  Model Name   IdeaPad 3 15IGL05  ,  Screen Size   15.6 Inches  ,  CPU Model   Celeron  ,  RAM Memory Installed Size   8 GB  ,  Operating System   Windows 11 Home  
10,"Lenovo V15 Intel Celeron N4020 15.6"" (39.62 cm) HD 220 nits Antiglare Thin and Light Laptop (4GB RAM/256GB SSD/DOS/Iron Grey/1.85 kg), 82C3A008IH","19,990.00",  Brand   Lenovo  ,  Series   Lenovo  ,  Screen Size   15.6 Inches  ,  CPU Model   Celeron N4020  ,  RAM Memory Installed Size   4 GB  ,  Operating System   DOS  
11,"HP ProBook 440 G8 Notebook PC, 11th Gen Intel Core i5-1135G7 14 inch(35.6cm) HD Laptop(8GB RAM/512GB SSD/Intel Irix Xe Graphics/Win 11/Pike Silver Aluminium/1.38 Kg) - 6G9R3PA","49,990.00",  Brand   HP  ,  Series   HP ProBook 440 G8  ,  Screen Size   35.6 Centimetres  ,  CPU Model   Core i5  ,  RAM Memory Installed Size   8 GB  ,  Operating System   Windows 11 Home  
12,"HP 15s, AMD Athlon Silver 3050U 8GB RAM/512GB SSD 15.6-inches/39.6 cm HD, Micro-Edge Display/Windows 11/AMD Radeon Graphics/Dual Speakers/MSO/Fast Charge/1.69 Kg, 15s-eq1559AU","28,990.00",  Brand   HP  ,  Series   15s-eq1559AU  ,  Screen Size   39.6 Centimetres  ,  CPU Model   Athlon  ,  RAM Memory Installed Size   8 GB  ,  Operating System   Windows 11 Home  
